player_name,nationality,goals_scored,assists_provided,dribbles_per_90,interceptions_per_90,tackles_per_90,total_duels_won_per_90,save_percentage,clean_sheets
Milan Borjan,Canada,,,,,,,,
Milos Degenek,Australia,0.0,0.0,1.49,0.5,2.49,11.93,,
Milos Veljkovic,Serbia,0.0,0.0,0.0,0.0,1.21,2.83,,
Mislav Orsic,Croatia,1.0,2.0,1.71,0.0,1.71,2.28,,
Mitchell Duke,Australia,1.0,0.0,0.66,0.66,0.0,8.58,,
Mohamed Ali Ben Romdhane,Tunisia,0.0,0.0,1.22,0.0,6.08,,,
Mohamed Drager,Tunisia,0.0,0.0,1.34,0.67,3.36,7.38,,
Mohamed Kanno,Saudi Arabia,,,,,,,,
Mohammed Al Yami,Saudi Arabia,,,,,,,,
Mohammed Al-Breik,Saudi Arabia,0.0,0.0,0.0,0.0,1.38,5.53,,
Mohammed Al-Owais,Saudi Arabia,,,,,,,,
Mohammed Kudus,Ghana,2.0,0.0,4.34,0.36,1.81,6.51,,
Mohammed Muntari,Qatar,,,,,,,,
Mohammed Salisu,Ghana,1.0,0.0,0.0,1.0,0.67,6.34,,
Mohammed Waad,Qatar,,,,,,,,
Moises Caicedo,Ecuador ,1.0,0.0,0.0,0.67,2.0,4.33,,
Moises Ramirez,Ecuador ,,,,,,,,
Montassar Talbi,Tunisia,0.0,0.0,0.0,0.33,1.0,7.0,,
Morteza Pouraliganji,Iran,0.0,0.0,0.0,2.0,0.67,7.66,,
Mouez Hassen,Tunisia,,,,,,,,
Moumi Ngamaleu,Cameroon,0.0,0.0,2.84,0.0,2.84,9.47,,
Moussa Ndiaye,Senegal,,,,,,,,
Moustapha Name,Senegal,,,,,,,,
Munir Mohamedi,Morocco ,,,,,,,,
Musab Kheder,Qatar,,,,,,,,
Mustafa Tarek,Qatar,,,,,,,,
Na Sang-ho,South Korea,0.0,0.0,3.05,0.0,3.05,7.63,,
Nader Ghandri,Tunisia,,,,,,,,
Nahuel Molina,Argentina,1.0,1.0,0.32,0.47,1.42,1.58,,
Naif Al-Hadhrami,Qatar,,,,,,,,
Naim Sliti,Tunisia,0.0,0.0,4.78,0.0,2.39,,,
Nampalys Mendy,Senegal,0.0,0.0,0.33,0.99,1.31,2.3,,
Nasser Al-Dawsari,Saudi Arabia,0.0,0.0,0.0,0.0,,,,
Nathan Ake,Netherlands ,0.0,0.0,0.0,1.5,1.12,6.0,,
Nathaniel Atkinson,Australia,0.0,0.0,2.12,1.06,4.24,4.24,,
Nawaf Al-Aqidi,Saudi Arabia,,,,,,,,
Nawaf Alabid,Saudi Arabia,0.0,0.0,0.66,2.09,0.0,6.28,,
Nayef Aguerd,Morocco ,0.0,0.0,0.0,0.76,1.02,3.56,,
Neco Williams,Wales,0.0,0.0,1.32,1.76,2.2,6.59,,
Nemanja Gudelj,Serbia,0.0,0.0,0.0,0.98,1.96,3.91,,
Nemanja Maksimovic,Serbia,0.0,0.0,0.0,2.27,2.27,3.03,,
Nemanja Radonjic,Serbia,0.0,0.0,3.16,0.0,0.0,3.16,,
Nestor Araujo,Mexico ,0.0,0.0,0.0,3.0,1.0,1.0,,
Neymar,Brazil,2.0,1.0,5.81,0.32,0.32,7.1,,
Nick Pope,England,,,,,,,,
Niclas Fullkrug,Germany,2.0,1.0,0.33,0.0,0.0,13.63,,
Nico Elvedi,Switzerland,0.0,0.0,0.0,0.5,1.0,4.5,,
Nico Schlotterbeck,Germany,0.0,0.0,1.94,0.97,3.87,8.71,,
Nico Williams,Spain,0.0,0.0,8.07,0.0,2.48,6.83,,
Nicola Zalewski,Poland ,0.0,0.0,2.77,0.0,5.54,8.31,,
Nicolas Jackson,Senegal,0.0,0.0,,,,,,
Nicolas Otamendi,Argentina,0.0,1.0,0.33,1.17,1.3,7.17,,
Nicolas Tagliafico,Argentina,0.0,0.0,0.48,2.17,1.69,5.07,,
Nicolás de la Cruz,Uruguay,0.0,0.0,0.5,0.0,0.0,5.14,,
Niklas Sule,Germany,0.0,0.0,0.0,0.0,1.67,6.33,,
Nikola Milenkovic,Serbia,0.0,0.0,0.0,1.67,3.33,8.0,,
Nikola Vlasic,Croatia,0.0,0.0,2.18,0.44,0.44,6.11,,
Noa Lang,Netherlands ,0.0,0.0,0.0,12.86,0.0,0.0,,
Noah Okafor,Switzerland,0.0,0.0,2.14,0.0,0.0,2.14,,
Nouhou Tolo,Cameroon,0.0,0.0,1.67,2.0,3.0,6.33,,
Noussair Mazraoui,Morocco ,0.0,0.0,0.98,0.24,3.42,4.4,,
Nuno Mendes,Portugal,0.0,0.0,4.29,4.29,0.0,12.85,,
Oliver Christensen,Denmark,,,,,,,,
Olivier Giroud,France,4.0,0.0,0.0,0.21,0.21,9.12,,
Olivier Mbaizo,Cameroon,,,,,,,,
Olivier Ntcham,Cameroon,0.0,0.0,1.0,0.0,0.0,4.09,,
Orbelin Pineda,Mexico ,0.0,0.0,1.17,0.0,4.68,9.35,,
Oscar Duarte,Costa Rica,0.0,0.0,0.0,2.33,1.33,2.67,,
Osman Bukari,Ghana,1.0,0.0,2.0,0.0,1.55,3.1,,
Otavio,Portugal,0.0,0.0,,,,,,
Ousmane Dembele,France,0.0,2.0,3.9,0.62,2.47,5.75,,
Pablo Sarabia,Spain,0.0,0.0,,,,,,
Paik Seung-ho,South Korea,1.0,0.0,0.0,0.0,10.8,,,
Papa Abou Cisse,Senegal,0.0,0.0,0.88,1.76,0.0,4.41,,
Papa Gueye,Senegal,0.0,0.0,0.6,1.19,2.38,10.13,,
Pape Matar Sarr,Senegal,0.0,0.0,1.61,0.0,4.82,8.65,,
Pathe Ciss,Senegal,0.0,0.0,1.23,1.23,1.85,8.63,,
Patrick Sequeira,Costa Rica,,,,,,,,
Pau Torrres,Spain,0.0,0.0,0.0,0.0,0.0,1.0,,
Paulo Dybala,Argentina,0.0,0.0,5.62,0.0,,,,
Payam Niazmand,Iran,,,,,,,,
Pedri,Spain,0.0,0.0,2.02,1.01,1.01,3.53,,
Pedro,Brazil,0.0,0.0,0.0,1.45,2.9,14.51,,
Pedro Miguel,Qatar,0.0,0.0,1.03,2.74,2.05,6.51,,
Pepe,Portugal,1.0,0.0,0.25,1.5,1.25,7.25,,
Pervis Estupinan,Ecuador ,0.0,0.0,2.33,1.0,2.33,6.0,,
Phil Foden,England,1.0,2.0,1.39,0.35,0.35,4.86,,
Philipp Kohn,Switzerland,,,,,,,,
Piero Hincapie,Ecuador ,0.0,0.0,0.0,0.67,2.33,6.0,,
Pierre Kunde,Cameroon,0.0,0.0,0.0,2.67,2.67,4.67,,
Pierre-Emile Hojbjerg,Denmark,0.0,0.0,0.67,1.33,1.33,2.66,,
Piotr Zielinski,Poland ,1.0,0.0,0.82,0.27,1.91,2.73,,
Przemyslaw Frankowski,Poland ,0.0,0.0,0.74,1.12,2.6,5.95,,
Rafael Leao,Portugal,2.0,0.0,6.51,1.08,0.0,7.59,,
Raheem Sterling,England,1.0,1.0,1.81,0.6,0.6,4.22,,
Ramin Rezaeian,Iran,1.0,0.0,0.5,1.5,3.5,6.5,,
Randal Kolo Muani,France,1.0,0.0,3.5,0.5,3.5,16.5,,
Raphael Guerreiro,Portugal,1.0,2.0,0.65,0.97,0.97,3.23,,
Raphael Varane,France,0.0,0.0,0.17,1.04,0.17,1.9,,
Raphinha,Brazil,0.0,0.0,2.84,0.85,2.27,4.54,,
Rasmus Kristensen,Denmark,0.0,0.0,1.59,0.8,3.58,6.77,,
Raul Jimenez,Mexico ,0.0,0.0,0.0,1.61,0.0,11.25,,
Remko Pasveer,Netherlands ,,,,,,,,
Remo Freuler,Switzerland,1.0,0.0,0.56,0.83,2.22,3.34,,
Renato Steffen,Switzerland,0.0,0.0,2.81,0.0,0.0,2.81,,
Ricardo Horta,Portugal,1.0,0.0,0.0,0.76,1.53,2.29,,
Ricardo Rodriguez,Switzerland,0.0,0.0,0.0,0.0,1.5,7.0,,
Richarlison,Brazil,3.0,0.0,1.1,0.28,0.55,4.41,,
Richie Laryea,Canada,0.0,0.0,2.0,0.0,1.68,3.91,,
Riley McGree,Australia,0.0,1.0,0.0,1.67,0.67,2.0,,
Ritsu Doan,Japan,2.0,0.0,2.49,0.83,2.49,6.22,,
Roan Wilson,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,,
Robert Arboleda,Ecuador ,,,,,,,,
Robert Gumny,Poland ,,,,,,,,
Robert Lewandowski,Poland ,2.0,1.0,2.75,0.5,0.75,12.5,,
Robert Sanchez,Spain,,,,,,,,
Robert Skov,Denmark,0.0,0.0,1.0,0.0,0.0,0.0,,
Roberto Alvarado,Mexico ,0.0,0.0,1.0,0.0,0.0,10.58,,
Rodolfo Cota,Mexico ,,,,,,,,
Rodri,Spain,0.0,0.0,0.0,0.69,1.15,8.77,,
Rodrigo Bentancur,Uruguay,0.0,0.0,2.1,2.94,3.79,11.35,,
Rodrigo De Paul,Argentina,0.0,0.0,0.6,1.05,1.79,4.64,,
Rodrygo,Brazil,0.0,1.0,3.02,1.01,2.01,5.53,,
Rogelio Funes Mori,Mexico ,0.0,0.0,0.0,0.0,,,,
Roman Saiss,Morocco ,0.0,0.0,0.19,0.58,0.77,3.47,,
Romario Ibarra,Ecuador ,0.0,0.0,0.5,1.32,0.0,1.32,,
Romelu Lukaku,Belgium,0.0,0.0,1.7,0.0,0.0,5.1,,
Ronald Araujo,Uruguay,,,,,,,,
Ronald Matarrita,Costa Rica,,,,,,,,
Rouzbeh Cheshmi,Iran,1.0,0.0,0.0,3.05,0.0,3.06,,
Ruben Dias,Portugal,0.0,0.0,0.0,0.75,0.75,3.75,,
Ruben Neves,Portugal,0.0,0.0,0.0,0.66,0.33,2.32,,
Ruben Vargas,Switzerland,0.0,1.0,1.56,0.31,0.0,3.13,,
Rubin Colwill,Wales,0.0,0.0,0.0,0.0,0.0,0.0,,
Rui Patricio,Portugal,,,,,,,,
Saad Al Sheeb,Qatar,,,,,,,,
Sadegh Moharrami,Iran,0.0,0.0,0.0,1.0,1.0,3.0,,
Saeid Ezatolahi,Iran,,,,,,,,
Saleh Al-Shehri,Saudi Arabia,1.0,0.0,0.8,0.0,1.2,8.0,,
Salem Al-Dawsari,Saudi Arabia,2.0,0.0,2.33,0.33,1.67,3.66,,
Salem Al-Hajri,Qatar,,,,,,,,
Salis Abdul Samed,Ghana,0.0,0.0,1.07,1.43,0.71,2.5,,
Salman Al-Faraj,Saudi Arabia,0.0,0.0,0.0,0.0,2.0,2.0,,
Sam Adekugbe,Canada,0.0,0.0,0.95,0.95,0.0,4.73,,
Saman Ghoddos,Iran,0.0,0.0,0.0,0.0,2.05,2.05,,
Sami Al-Najei,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,,
Samuel Gouet,Cameroon,0.0,0.0,0.0,0.0,0.91,3.64,,
Samuel Piette,Canada,,,,,,,,
Sardar Azmoun,Iran,0.0,0.0,0.71,0.0,0.0,6.37,,
Sasa Lukic,Serbia,0.0,0.0,0.37,0.37,0.73,2.3,,
Saud Abdulhamid,Saudi Arabia,0.0,0.0,1.0,0.33,1.67,6.66,,
Sean Johnson,USA,,,,,,,,
Sebastian Coates,Uruguay,0.0,0.0,0.0,0.5,0.5,7.5,,
Sebastian Sosa,Uruguay,,,,,,,,
Sebastian Szymanski,Poland ,0.0,0.0,1.33,1.33,4.0,8.0,,
Seifeddine Jaziri,Tunisia,,,,,,,,
Selim Amallah,Morocco ,0.0,0.0,0.66,1.76,2.85,6.37,,
Seny Dieng,Senegal,,,,,,,,
Serge Gnabry,Germany,1.0,1.0,1.7,68.0,1.7,3.4,,
Sergej Milinkovic-Savic,Serbia,1.0,0.0,1.91,0.76,1.91,6.86,,
Sergio Busquets,Spain,0.0,0.0,0.25,0.25,1.73,6.68,,
Sergio Rochet,Uruguay,,,,,,,,
Sergiño Dest,USA,0.0,1.0,2.33,0.58,0.87,2.91,,
Shaq Moore,USA,0.0,0.0,0.0,0.0,9.0,18.0,,
Shogo Taniguchi,Japan,0.0,0.0,0.0,0.43,0.43,6.43,,
Shojae Khalilzadeh,Iran,,,,,,,,
Shuichi Gonda,Japan,,,,,,,,
Shuto Machino,Japan,,,,,,,,
Simon Kjaer,Denmark,0.0,0.0,0.0,6.92,0.0,8.3,,
Simon Mignolet,Belgium,,,,,,,,
Simon Ngapandouetnbu,Cameroon,,,,,,,,
Sofiane Boufal,Morocco ,0.0,0.0,4.11,0.37,1.87,8.03,,
Sofyan Amrabat,Morocco ,0.0,0.0,0.14,0.82,2.32,3.68,,
Son Heung-min,South Korea,0.0,1.0,3.25,0.5,1.25,3.5,,
Son Jun-ho,South Korea,0.0,0.0,0.0,3.91,3.91,3.91,,
Song Bum-keun,South Korea,,,,,,,,
Song Min-kyu,South Korea,,,,,,,,
Sorba Thomas,Wales,0.0,0.0,0.0,0.0,0.0,0.0,,
Souaibou Marou,Cameroon,,,,,,,,
Srdan Babic,Serbia,0.0,0.0,0.0,0.0,7.5,7.5,,
Stefan Mitrovic,Serbia,,,,,,,,
Stefan de Vrij,Netherlands ,,,,,,,,
Stephen Eustaquio,Canada,0.0,0.0,0.71,1.42,2.83,5.67,,
Steve Mandanda,France,,,,,,0.0,,
Steven Berghuis,Netherlands ,0.0,1.0,1.82,0.0,0.91,2.27,,
Steven Bergwijn,Netherlands ,0.0,0.0,0.84,0.0,0.42,2.09,,
Steven Vitória,Canada,0.0,0.0,0.0,0.0,1.33,5.66,,
Strahinja Erakovic,Serbia,,,,,,,,
Strahinja Pavlovic,Serbia,1.0,0.0,0.38,0.38,3.05,14.11,,
Sultan Al-Ghanam,Saudi Arabia,0.0,0.0,1.44,1.44,0.0,0.0,,
Szymon Zurkowski,Poland ,,,,,,,,
Taha Yassine Khenissi,Tunisia,0.0,0.0,0.0,0.0,0.0,3.33,,
Tajon Buchanan,Canada,0.0,1.0,6.21,1.03,0.34,5.17,,
Takehiro Tomiyasu,Japan,0.0,0.0,0.0,0.0,0.0,5.84,,
Takuma Asano,Japan,1.0,0.0,0.56,0.56,0.0,1.12,,
Takumi Minamino,Japan,0.0,0.0,1.61,0.0,3.21,3.21,,
Tarek Salman,Qatar,0.0,0.0,0.0,,,,,
Tariq Lamptey,Ghana,0.0,0.0,1.76,0.88,3.53,5.29,,
Teun Koopmeiners,Netherlands ,0.0,1.0,0.41,1.24,4.15,9.12,,
Theo Hernandez,France,1.0,2.0,0.35,0.71,2.83,8.68,,
Thiago Almada,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,,
Thiago Silva,Brazil,0.0,1.0,0.0,1.15,0.69,4.15,,
Thibaut Courtois,Belgium,,,,,,,,
Thilo Kehrer,Germany,0.0,0.0,0.0,2.57,7.71,7.71,,
Thomas Delaney,Denmark,0.0,0.0,0.0,0.0,0.0,8.0,,
Thomas Deng,Australia,,,,,,,,
Thomas Meunier,Belgium,0.0,0.0,0.85,0.85,2.55,5.1,,
Thomas Muller,Germany,0.0,0.0,0.0,0.44,0.89,2.21,,
Thomas Partey,Ghana,0.0,0.0,0.67,0.0,3.0,8.33,,
Thorgan Hazard,Belgium,0.0,0.0,1.7,0.0,2.55,4.25,,
Tim Ream,USA,0.0,0.0,0.25,1.0,1.0,4.75,,
Tim Weah,USA,1.0,0.0,0.56,0.0,0.28,2.25,,
Timothy Castagne,Belgium,0.0,0.0,0.33,0.67,2.0,4.33,,
Toby Alderweireld,Belgium,0.0,1.0,0.0,0.0,1.33,2.0,,
Trent Alexander-Arnold,England,0.0,0.0,0.0,0.0,0.0,0.0,,
Tyler Adams,USA,0.0,0.0,0.25,1.0,2.25,6.25,,
Tyrell Malacia,Netherlands ,,,,,,,,
Unai Simon,Spain,,,,,,,,
Uriel Antuna,Mexico ,0.0,0.0,0.0,0.0,4.86,6.08,,
Uros Racic,Serbia,,,,,,,,
Vahid Amiri,Iran,,,,,,,,
Vanja Milinkovic-Savic,Serbia,,,,,,,,
Victor Nelsson,Denmark,0.0,0.0,0.0,2.0,0.0,10.0,,
Vincent Aboubakar,Cameroon,2.0,1.0,3.83,0.0,0.0,6.39,,
Vincent Janssen,Netherlands ,0.0,0.0,0.0,0.0,2.09,6.28,,
Vinicius Jr,Brazil,1.0,2.0,3.89,0.0,1.2,4.49,,
Virgil van Dijk,Netherlands ,0.0,0.0,0.0,0.75,0.38,9.0,,
Vitinha,Portugal,0.0,0.0,1.51,0.0,2.27,5.29,,
Wahbi Khazri,Tunisia,1.0,0.0,1.0,0.0,2.17,4.34,,
Wajdi Kechrida,Tunisia,0.0,0.0,3.3,0.0,2.48,4.96,,
Walid Cheddira,Morocco ,0.0,0.0,1.43,0.0,1.43,7.15,,
Walker Zimmerman,USA,0.0,0.0,0.0,1.29,0.97,6.15,,
Wataru Endo,Japan,0.0,0.0,0.89,0.89,2.38,10.69,,
Wayne Hennessey,Wales,,,,,,,,
Weston McKennie,USA,0.0,0.0,0.65,0.0,0.65,3.6,,
Weverton,Brazil,,,,,,,,
William Carvalho,Portugal,0.0,0.0,0.0,0.0,2.51,6.69,,
William Pacho,Ecuador ,,,,,,,,
William Saliba,France,0.0,0.0,3.33,0.0,0.0,6.67,,
Wojciech Szczesny,Poland ,,,,,,,,
Wout Faes,Belgium,,,,,,,,
Wout Weghorst,Netherlands ,2.0,0.0,0.0,0.0,0.0,4.43,,
Xavi Simons,Netherlands ,0.0,0.0,0.0,12.86,0.0,,,
Xavier Arreaga,Ecuador ,,,,,,,,
Xherdan Shaqiri,Switzerland,1.0,1.0,0.78,0.0,0.0,3.12,,
Yahia Attiyat Allah,Morocco ,0.0,1.0,0.29,0.0,1.15,2.01,,
Yahya Jabrane,Morocco ,0.0,0.0,0.0,0.0,0.0,0.0,,
Yann Sommer,Switzerland,,,,,,,,
Yannick Carrasco,Belgium,0.0,0.0,2.29,0.76,3.81,6.1,,
Yasser Al-Shahrani,Saudi Arabia,0.0,0.0,0.0,6.0,3.0,3.0,,
Yassine Bounou,Morocco ,,,,,,0.64,,
Yassine Meriah,Tunisia,,,,,,,,
Yeltsin Tejeda,Costa Rica,1.0,1.0,33.0,0.33,1.33,4.66,,
Yeremy Pino,Spain,,,,,,,,
Yoon Jong-gyu,South Korea,,,,,,,,
Youri Tielemans,Belgium,0.0,0.0,0.0,1.91,2.87,7.65,,
Yousef Hassan,Qatar,,,,,,,,
Youssef En-Nesyri,Morocco ,2.0,0.0,1.15,0.16,0.66,8.23,,
Youssef Msakni,Tunisia,0.0,0.0,2.65,0.0,1.59,9.0,,
Youssouf Fofana,France,0.0,0.0,0.8,1.21,3.21,5.22,,
Youssouf Sabaly,Senegal,0.0,0.0,1.25,1.0,1.5,7.5,,
Youssoufa Moukoko,Germany,0.0,0.0,0.0,0.0,0.0,0.0,,
Youstin Salas,Costa Rica,,,,,,,,
Yuki Soma,Japan,0.0,0.0,2.2,0.0,2.2,6.59,,
Yunus Musah,USA,0.0,0.0,,,,,,
Yussuf Yurary Poulsen,Denmark,,,,,,,,
Yuto Nagatomo,Japan,0.0,0.0,1.69,0.0,1.69,3.8,,
Zakaria Aboukhlal,Morocco ,1.0,0.0,1.23,1.23,0.0,4.94,,
Zeno Debast,Belgium,,,,,,,,
